joining_date,job_title,required_experience,Overall_Satisfication,Working_model,Considering_Job_Switching_in_Future,Main_Reasons,Salary
12/10/2023,Junior Software Developer (Backend),Fresh graduate,Satisfied,On Site,No,I am happy with my work role,19000
03/01/2022,Data Scientist,More than 2 years,Satisfied,Remote,Yes,Better salary/benefits,50000
02/06/2022,Data Scientist,More than 2 years,Satisfied,On Site,Yes,"Career Development, Salary andBenefits",115000
01/03/2021,Senior Software Engineer (Backend),More than 2 years,Very Satisfied,On Site,No,I am happy with my work role,100000
03/08/2021,Software Developer (Backend),More than 2 years,Satisfied,On Site,Yes,Seeking better work-life balance,47000
02/07/2021,Game Developer,More than 2 years,Satisfied,Hybrid,Yes,Better salary/benefits,90000
04/03/2022,IT Support Engineer,Less than 2 years,Dissatisfied,On Site,Yes,"Career Development, Salary andBenefits",20000
05/07/2022,Software Developer (Backend),More than 2 years,Neutral,On Site,Yes,Better salary/benefits,47000
10/04/2023,Software Developer (Frontend),Less than 2 years,Satisfied,On Site,Yes,Seeking better work-life balance,45000
05/05/2021,Software Developer (Frontend),More than 2 years,Satisfied,On Site,Yes,Better salary/benefits,50000
04/04/2021,Senior Software Developer (Frontend),More than 2 years,Neutral,On Site,Yes,"Career Development, Salary and Benefits",70000
08/08/2023,Junior Software Developer (Backend),Less than 2 years,Satisfied,On Site,Yes,Career advancement opportunities,52250
09/06/2022,Game Developer,More than 2 years,Satisfied,On Site,Yes,Seeking better work-life balance,50000
11/02/2021,Software Developer (Backend),More than 2 years,Satisfied,On Site,Yes,"Career Development, Salary and Benefits",43000
06/04/2020,Database Administrator (DBA),More than 3 years,Satisfied,On Site,Yes,Better salary/benefits,100000
01/05/2020,Data Analyst,More than 3 years,Satisfied,On Site,Yes,Better salary/benefits,50000
04/14/2022,Junior Software Developer (Backend),More than 2 years,Neutral,On Site,Yes,Career advancement opportunities,45000
01/02/2023,Software Quality Assurance Engineer,Less than 2 years,Neutral,On Site,Yes,"Career Development, Salary and Benefits",35000
